CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember
584,44,5,95671.75,2,106564.88,France,Female,1,1
453,38,8,120623.21,1,129697.99,Germany,Female,1,0
803,43,3,0.0,1,72051.44,Spain,Male,1,0
601,41,3,0.0,2,54342.83,Spain,Female,1,0
531,42,6,88324.31,2,75248.75,Germany,Female,1,0
664,40,9,0.0,2,194767.3,France,Male,1,0
605,57,2,0.0,3,66652.75,Spain,Female,1,0
652,37,4,0.0,2,143393.24,France,Female,1,0
743,40,8,68155.59,1,94876.65,France,Male,1,0
557,34,3,83074.0,1,132673.22,France,Male,1,0
660,41,1,129901.21,1,26025.6,Germany,Male,1,0
764,29,5,0.0,2,65868.28,Spain,Male,1,0
655,52,9,144696.75,1,49025.79,Germany,Male,1,1
773,25,2,135903.33,1,73656.38,France,Male,1,0
602,23,7,113758.48,2,84077.6,France,Male,0,0
610,57,7,72092.95,4,113228.82,France,Female,0,1
711,21,0,82844.33,2,1408.68,France,Female,0,1
763,39,7,0.0,2,19458.75,Spain,Female,1,0
553,47,3,116528.15,1,145704.19,Spain,Male,0,0
472,37,1,0.0,2,48357.9,France,Female,1,1
558,39,10,144757.02,1,22878.16,Germany,Male,1,0
660,35,6,100768.77,1,19199.61,France,Female,1,0
566,65,4,120100.41,1,107563.16,Germany,Male,1,0
625,28,3,0.0,1,183646.41,France,Female,0,0
681,37,6,121231.39,1,146366.08,Spain,Female,1,1
525,36,2,114628.4,1,168290.06,France,Male,0,1
543,36,3,0.0,2,26019.59,France,Female,0,0
703,45,5,0.0,2,131906.44,France,Female,1,0
704,36,2,175509.8,2,152039.67,Spain,Female,1,0
667,71,4,137260.78,1,94433.08,Spain,Male,0,1
667,32,0,103846.65,1,20560.69,Germany,Male,1,0
593,36,2,70181.48,2,80608.12,France,Male,1,0
802,60,3,92887.06,1,39473.63,France,Female,1,0
684,34,9,0.0,2,65257.57,France,Male,1,1
489,46,8,92060.06,1,147222.95,Germany,Female,1,0
623,33,2,80002.33,1,104079.62,Germany,Male,1,1
569,43,8,161546.68,2,178187.28,Spain,Male,0,1
531,42,6,75302.85,2,57034.35,Spain,Female,0,0
427,29,1,141325.56,1,93839.3,France,Male,1,1
519,21,1,146329.57,2,194867.27,France,Female,1,1
621,42,8,68683.68,1,74157.71,Spain,Male,1,1
596,29,6,0.0,2,116696.77,Spain,Female,1,0
632,50,2,0.0,2,57942.88,France,Male,0,0
635,28,3,81623.67,2,156791.36,Germany,Female,1,1
586,32,1,149814.54,1,31830.06,Germany,Male,1,0
649,46,5,0.0,2,76946.6,France,Male,1,1
653,25,2,158266.42,3,199357.24,Germany,Female,1,1
559,29,1,0.0,2,155639.76,France,Male,0,0
539,39,3,139153.68,2,147662.33,France,Male,1,0
738,18,4,0.0,2,47799.15,France,Male,1,1
581,37,10,104255.03,1,86609.37,France,Female,1,0
719,22,7,114415.84,1,177497.4,France,Female,1,1
692,53,7,150926.99,2,119817.19,Germany,Male,0,0
656,34,6,59877.33,1,14032.62,Spain,Female,1,0
456,32,9,147506.25,1,135399.21,Spain,Male,1,1
816,67,6,151858.98,1,72814.31,Spain,Male,1,1
689,31,3,139799.63,1,120663.57,Spain,Female,0,1
569,38,7,0.0,1,108469.2,France,Male,1,1
686,39,4,0.0,2,155023.93,France,Male,1,0
729,38,10,0.0,2,189727.12,Spain,Female,1,0
525,30,5,0.0,2,149195.44,Spain,Female,0,1
642,26,0,0.0,1,47472.68,France,Male,0,0
646,30,7,0.0,2,153566.97,France,Male,1,0
750,33,3,161801.47,1,153288.97,Spain,Female,0,1
561,28,7,0.0,2,7797.01,France,Male,1,0
775,74,0,161371.5,1,134869.93,Germany,Female,1,1
634,36,1,69518.95,1,116238.39,France,Female,1,0
670,36,7,0.0,2,59571.5,France,Male,0,0
714,24,7,0.0,2,166335.0,France,Female,1,0
812,24,10,0.0,2,156906.15,France,Male,1,1
453,29,6,0.0,1,198376.02,France,Male,0,0
456,63,1,165350.61,2,140758.07,France,Female,0,0
771,41,10,108309.0,4,137510.41,France,Female,1,1
676,41,4,101457.14,1,79101.67,France,Female,1,1
785,55,5,0.0,2,7008.65,France,Male,1,1
685,31,10,135213.71,1,125777.28,Spain,Male,1,1
557,46,4,96173.17,2,116378.31,France,Female,1,1
492,38,8,57068.43,2,188974.81,Germany,Female,1,0
711,37,8,113899.92,1,80215.2,France,Female,0,0
789,39,7,124828.46,2,124411.08,Germany,Male,1,1
744,44,5,120654.68,1,82290.81,Spain,Male,1,0
636,31,6,0.0,2,2382.61,France,Male,1,1
718,67,7,0.0,3,82782.08,France,Female,1,1
584,38,3,0.0,2,4525.4,Spain,Female,1,1
642,36,4,0.0,2,195224.91,France,Male,1,1
633,35,3,0.0,2,36249.76,France,Male,1,1
679,39,4,0.0,1,172939.3,France,Female,0,0
717,35,1,0.0,3,174770.14,Spain,Male,0,0
670,35,2,79585.96,1,198802.9,Germany,Female,0,1
537,38,3,0.0,2,141023.01,France,Male,0,0
512,43,1,0.0,2,52471.36,France,Male,1,1
530,48,0,0.0,1,85081.09,France,Female,1,0
486,24,1,0.0,1,98802.76,Spain,Male,1,0
671,31,6,0.0,2,15846.42,France,Female,1,1
654,29,4,132954.64,1,146715.07,France,Male,1,1
698,39,4,0.0,2,47455.82,France,Female,0,1
660,30,4,0.0,2,129149.06,Spain,Male,1,0
821,28,8,0.0,1,36754.13,France,Female,1,1
730,22,9,65763.57,1,145792.01,France,Female,1,1
721,41,6,135071.12,1,64477.25,France,Male,1,1
537,37,7,158411.95,4,117690.58,Germany,Female,1,1
537,45,7,158621.04,1,120892.96,France,Female,1,0
552,50,4,121175.56,1,117505.07,Germany,Male,1,0
547,25,4,98141.57,2,52309.8,Germany,Male,1,1
646,36,6,124445.52,1,88481.32,France,Male,1,0
724,31,2,160997.54,2,64831.36,Germany,Male,0,1
450,34,2,0.0,2,175480.93,Spain,Female,1,0
706,42,8,95386.82,1,75732.25,Spain,Female,1,1
569,31,1,115406.97,1,145528.22,Spain,Male,0,0
599,25,7,108380.72,1,79005.95,Germany,Male,1,1
681,43,8,154100.3,1,114659.81,France,Female,0,0
669,41,0,150219.41,2,107839.03,France,Female,0,0
769,31,7,148913.72,2,53817.23,Germany,Female,1,0
548,32,2,172448.77,1,188083.77,France,Female,1,0
527,33,9,132168.28,1,98734.15,Spain,Male,0,0
644,46,6,12459.19,1,156787.34,Spain,Female,0,0
809,48,2,0.0,1,160976.85,Spain,Female,1,0
530,42,0,99948.45,1,97338.62,Germany,Female,0,1
799,32,3,106045.92,2,17938.0,France,Female,1,1
792,42,2,0.0,2,92664.09,France,Female,1,0
633,37,9,156091.97,1,72008.61,France,Female,1,0
606,36,10,0.0,2,155641.46,France,Female,0,1
461,51,9,119889.84,1,56767.67,France,Male,0,0
726,30,5,111375.32,2,2704.09,Germany,Male,1,0
573,41,5,0.0,2,14479.29,Spain,Male,0,1
513,45,0,164649.52,3,49915.52,France,Female,1,0
572,47,4,99353.42,1,196549.85,Germany,Male,1,0
556,38,2,115463.16,1,150679.65,Spain,Male,1,0
418,34,8,155973.88,1,154208.96,France,Male,1,0
501,42,9,114631.23,1,91429.74,France,Male,0,1
754,48,7,141819.02,1,93550.53,Germany,Female,1,0
607,25,3,0.0,2,187048.72,France,Male,0,0
702,37,10,150525.8,1,94728.49,France,Male,1,1
695,35,7,0.0,2,160387.98,Spain,Male,1,0
701,32,5,102500.34,1,106287.77,Germany,Male,0,0
